Question,Answer
ارروت چیه؟,یه فایل دارم میخوام چک کنه توش هست یا نه خودم ارایه بنویسم همه چی درست ولی فایل رو ارور میده
یه فایل دارم میخوام چک کنه توش هست یا نه خودم ارایه بنویسم همه چی درست ولی فایل رو ارور میده,فایل؟
برم سمت دیتا بیس,ایده ی خوبیه
ایده ی خوبیه,دادا دمت گرم جواب دادی
دادا دمت گرم جواب دادی,خواهش می کنم
کسی اینجا اوبونتو داره,مشکلت چیه
مشکلت چیه,موقع نصب گرابم نصب نمیشه
موقع پارتیشن بندی فقط سواپ و روت دادم,آیا پارتیشن بوت ساختید یا نه؟ اگر ساختید اون را روی چی سوار می کنید در ؟ اگر نساختید چون هست یه پارتیشن بوت نیازه
آیا پارتیشن بوت ساختید یا نه؟ اگر ساختید اون را روی چی سوار می کنید در ؟ اگر نساختید چون هست یه پارتیشن بوت نیازه,ام غیر فعاله
ام غیر فعاله,یه راه دیگه
بصورت لایو آورد بالا,خب ترمینالو باز کن
اقای خاص، اینجا رو چیکار کنم,دستورات بالا رو اجرا کن
حالا چیکار کنم,ری استارت کن و کاری که میخواستی انجام بدی رو ادامه بده
اره گفتم شمام درامد داشته باشین,کریپتو تب کار میکنی؟
کریپتو تب کار میکنی؟,اره
اره,چند تا رفرال داری؟
تا سطح اول سطح دوم سطح سوم,کریپتو تب تا وقتی هزار یا دو هزار زیر مجموعه داشته نباشی نمیصرفه
ری استارت کن و کاری که میخواستی انجام بدی رو ادامه بده,دمت گرم
اره ولی هنوزم داره اوج میگیره هر روز بیشتر از دیروز,میگم بیت کوین لینک دانلود شو میفرستی
میخوام لبتاب بخرم دست دوم سه میلیون قیمتشه کامپیوترقابل حمل نیست دویست تومنم بیشتر پول ندارم,دوست عزیز من یه کانال دارم لب تاب های دست دوم داره با قیمت خیلی کم الان براتون میفرستم
دوست عزیز من یه کانال دارم لب تاب های دست دوم داره با قیمت خیلی کم الان براتون میفرستم,ممنون فقط واسه کدوم شهره
دوست عزیز من یه کانال دارم لب تاب های دست دوم داره با قیمت خیلی کم الان براتون میفرستم,پیوی بفرستید لطفا
پیوی بفرستید لطفا,باشه
کسی برنامه نویسی کرده تاحالا؟,پ ن پ گروه برنامه نویسه ها
مگ خیلی کمه,مگه میخای فیلم اپ کنی
بله باید رو تغییر بدی,ممنون
شرکت بهتر اینا هم هست با ایرانی جماعت مشکل داره باید بگید یه اشناهاتون بخره براتون رم رو میده فکنم یورو,چند هسته ؟
چند هسته ؟,یه لحظه صبر کنید
چند هسته ؟,این هس فکنم یورو بود
این هس فکنم یورو بود,اوه، این که گیگ رم داره که
اوه، این که گیگ رم داره که,میگم که شما اگه بگردی گیرت میاد شرکت های نوپا ارزون میدن تو خود اروپاشم
میگم که شما اگه بگردی گیرت میاد شرکت های نوپا ارزون میدن تو خود اروپاشم,اره خب ببین مسئله ایرانی بودن ما هستش و اینکه شرکتی پیدا کنیم که با ما اوکی باشه یه مقدار سخته
اره خب ببین مسئله ایرانی بودن ما هستش و اینکه شرکتی پیدا کنیم که با ما اوکی باشه یه مقدار سخته,من الان که کار نمیکنم ولی با یه نفر ایرانی مقیم فرانسه رفیق شدم برام خرید میکرد البته باید دقت کرد اطلاعات سروراتون رو میتونه داشته باشه
دمت گرم,خواهش
هم میشه,اموزش نصب رو این هاستا رو داری؟
اموزش نصب رو این هاستا رو داری؟,هاستینجا پشتیبانی می کنه و آموزش هم داره تو سایتش
هاستینجا پشتیبانی می کنه و آموزش هم داره تو سایتش,میشه ادرسشو بدی؟
میشه ادرسشو بدی؟,سرچ کنی میاد هاستینجا
سرچ کنی میاد هاستینجا,اوکی مرسی اسمش یه جوری بود گفتم شاید اشتباه باشه
اوکی مرسی اسمش یه جوری بود گفتم شاید اشتباه باشه,نه همینه
نه همینه,دمت گرم
دمت گرم,قربانت
این چه مفهومی داره و چرا ازش استفاده میکنیم؟,یعنی از کیبود کاربر ورودی میگیری
این چه مفهومی داره و چرا ازش استفاده میکنیم؟,اگه بنویسی ور اجرا کنی کاربر متن وارد میکنه و تا زمانی که روی اینتر کلیک نکرده میتونه متن وارد کنه
اقا سجاد در نظر ندارین یه بخش آموزشگاه تو سایت راه بندارین بتونیم آموزشهامون رو بفروشیم ؟,سلام دوست عزیز ایده ی بدی نیست باید با بچه های تیم مطرح کنیم و اگه بتونیم استراتژی خوبی ازش دربیاریم که توی وب سایت بشیه، پیاده سازیش خواهیم کرد
سلام سوالتون رو اینجا مطرح کنید اگر به جواب نرسیدن تو سایت مطرح کنید,ممنونم برای فرهنگ سازی لام تا کام
میدونین مشکل از چیه؟,رو پاک کن
مطمعنی سالمه و اینکه درست اد کردی؟,رو از سایت خود اندروید دانلود کردم
رو از سایت خود اندروید دانلود کردم,مسیرش رو بررسی کن، مسیرت مشکل داره
مسیرش رو بررسی کن، مسیرت مشکل داره,مسیر هم درسته ادرس خود هست
مسیر هم درسته ادرس خود هست,نمیدونم، من بارها نصب کردم مشکل نخورد
نمیدونم، من بارها نصب کردم مشکل نخورد,منم چند باری نصب کردم اینجوری نشده بود
خب دایرکتوری ساخته نمیشه دیگه,میدونم
خب دایرکتوری ساخته نمیشه دیگه,خب چرا ایجاد نمیشه؟
خب چرا ایجاد نمیشه؟,می خوای دسترسیش رو هم بهش بده، اینطوری
خدایی من سی ،سی پلاس پلاس،سی شارپ،ای اس پی،جاوا اسکریپت،اسمبلی و ی تعداد زبان برنامه نویسی کار کردم و مسلطم ولی هیچ کدوم ب اندازه جذاب و دوس داشتنی نبوده,خوش به حالتون که همه اینا رو بلدید
درست شد حالا میگه نداری هرچی هم توی گوگل میزنم دان کنم میزنه میاره واسم,همون اول اندروید استدیو نصب کنی خودش هر چی نیاز داشته باشه میگیره از خودش دانلود کنی همه چیزو راحت تره
همون اول اندروید استدیو نصب کنی خودش هر چی نیاز داشته باشه میگیره از خودش دانلود کنی همه چیزو راحت تره,چیزی نگرفت ازم
چیزی نگرفت ازم,وی پی ان فعاله؟
وی پی ان فعاله؟,اره
اره,ببین وی پی ان فعال باشه دانلود میکنه بدون مشکل
ببین وی پی ان فعال باشه دانلود میکنه بدون مشکل,فعاله اگه نباشه های دیگرو نمیاره برام برای دان کردن
اخه اون موقع اصلا اس دیکا از اندروید انتخاب نمیشد بالا میومدا ولی کلیک نمیشد رو هیچکدوم,یه مشکلی داشت حتما یا با یا چیزای دیگه
ینی من الان اینجا ندارم اصلا نمیخواد دان کنم؟ بزارم همینجوری باشه؟,اره مگه اروری داره؟
اره مگه اروری داره؟,ن ارور نداره ولی گفتم شاید لازم باشه
ن ارور نداره ولی گفتم شاید لازم باشه,نه تا وقتی اروری نداده لازم نیست
از دارم استفاده میکنم ولی کلاس برنامه نویسی ک دارم میرم استادمون میگه یاد بگیر بخاطر امنیتش,ولی ی خورده ریخت و قیافشو دیدم میترسم برم طرفش
از دارم استفاده میکنم ولی کلاس برنامه نویسی ک دارم میرم استادمون میگه یاد بگیر بخاطر امنیتش,اره پایتون فریم ورک امنیت خوبی داره ولی رو هم اگه درست کانفیگ کنی اوکیه امنیتش
اره پایتون فریم ورک امنیت خوبی داره ولی رو هم اگه درست کانفیگ کنی اوکیه امنیتش,خب مشکل من اینه درست کانفیگ کردنشو اینارو نمیدونم چی ب چیه در حل سلکت زدن و ساخت دیتا بیس و همین چیزای کار راه انداز متونم انجام بدم فقط نمیدونم لازمه بیشتر از اینا ازش یاد بگیرم یا ن
امنیت بستگی به زبان برنامه نویسی نداره اگه برنامه نویس وارد باشه امنیت هر چیزی رو میتونه برقرار کنه,خب اره حرفه ای باشی قطعا میتونی ولی نمیخوام انقدر حرفه ای بشم چون دارم همزمان جاوا رو یاد میگیرم میخوام ببینم تفاوت هاشون چیاس چرا ی سری میرن ی سری
خب اره حرفه ای باشی قطعا میتونی ولی نمیخوام انقدر حرفه ای بشم چون دارم همزمان جاوا رو یاد میگیرم میخوام ببینم تفاوت هاشون چیاس چرا ی سری میرن ی سری,هر فریم ورک یا زبان برنامه نویسی معایب و خوبی های خودشون رو دارن
خب اره حرفه ای باشی قطعا میتونی ولی نمیخوام انقدر حرفه ای بشم چون دارم همزمان جاوا رو یاد میگیرم میخوام ببینم تفاوت هاشون چیاس چرا ی سری میرن ی سری,درسته
لاراول هم خوبه برای,خوبه یعنی عالیه
خوبه یعنی عالیه,چیه
چیه,سرچ کن بهتر از من جواب میده
راحته ولی باید کلیت پی اچ پس رو بلد باشی,اهوم مرسی کداش بلدم الان دارم پروژه محور کار می کنم سخت از رو یه اموزش خوب
اهوم مرسی کداش بلدم الان دارم پروژه محور کار می کنم سخت از رو یه اموزش خوب,موفق باشی
اخه کد ها درسته تا قبل اینک اندروید استودیو پاک بشه اجرا میگرفتم درست بود همه چی,دست ب چیزیش هم نزدم
مرسی,خواهش میکنم
دوستان نظرتون رو لطف میکنید در رابطه با این نشانه مربوط به شرکت رزرو بلیط,خوبه ساده و کارا
سلام توی اندروید چجوری میتونم یه لیست مثه همین درست کنم که اگه توی ادیت تکست یه حرفی نوشته بشه یه لیست اول ایجاد میشه و از دیتابیس میخونه و لیست رو اپدیت میکنه,سرچ کن
سرچ کن,زیاد دیدم ولی همشون یه لیست ثابت دارن که تو جستجو همونو اپدیت میکنه ، من میخوام اگه یه حرفی زد اول لیست ایجاد بشه بعد اپدیت کنه
ریسایکل رو تغییر نده ترتیب لیستی که میدی رو تغییر بده,خب خود ریسایکل قابلیتی نداره مثلا بر اساس آیدی نمایش بده لیستو ؟
دوستان کدوم از این سایتای ک امکان اینجاد وبلاگ میدن میشه تو وبلاگ اتصال دامنه انجام داد؟,داداش همشون میدن
سلام من یه قالب دارم مشتری دمو میخواد چطوری این کار رو انجام بدم,بهتر کلا دمو ندی اگه صرفا فایل و هست
البته من درصد نمیخواهم,کنکورتو بخون
نه به خدا,بیا پیوی
سلام,سلام
کسی میتونه بگه چطوری به یک عکس هاور بدم که عکس را ارام ارام بزرگ کنه مثلا عارضش پنجاه پیکسل هست ارام ارام کنه ۱۰۰۰پیکسل,یه بنویس که اگه بود بیاد عرضشو زیاد کنه
یه بنویس که اگه بود بیاد عرضشو زیاد کنه,فکر نکنم کاری داشته باشه
کسی میتونه بگه چطوری به یک عکس هاور بدم که عکس را ارام ارام بزرگ کنه مثلا عارضش پنجاه پیکسل هست ارام ارام کنه ۱۰۰۰پیکسل,از در جی کوئری استفاده کن
با سلام کسی در مورد تیم اسپیک میدونه کمکم کنه؟,چه کمکی؟ و اینکه چرا از تیم اسپیک استفاده می کنی؟ من شخصا از دیسکورد استفاده می کنم و عالیه
من روی گوشی نصب کردم وصل نمیشه نمیدونم چرا,شاید مشکل کانکشن داری، از پروکسی استفاده می کنی؟
شاید مشکل کانکشن داری، از پروکسی استفاده می کنی؟,نه
توضیح خیلی خاصی نداره خب یه نرم افزاره که نصب می کنی روی ویندوز یا هر سیستم عامل دیگه ای که داری ، بعد اون آدمایی که می خوای به صورت گروهی صحبت کنی باهم به یک گروه اضافه میشید و شروع می کنید به صحبت کردن,اینم مثل همینه که
شاید مشکل کانکشن داری، از پروکسی استفاده می کنی؟,اصلا چجوری بایز کانکت شه
اصلا چجوری بایز کانکت شه,اگه گوشیت به اینترنت متصل باشه خودش کانکت هست، کافیه یه اکانت بسازی و وارد نرم افزار بشی
خب به وضوح داره می گه این ورژنی که داری استفاده می کنی منسوخ شده,عجب ولی من یه تیم اسپیک دیگه که نصب کردم این مشخصات رو میخواد
دوستان تلگرام شما هم بدون فیلتر باز می کنه؟,خیر
دوستان تلگرام شما هم بدون فیلتر باز می کنه؟,سلام تلگرام من روی گوشی باز میکنه ولی توی سیستم نه خخخ
تلگرام من بدون فلترشکن و پروکسی وصله رو گوشی,تونلی یهو
تونلی یهو,نمیدونم والا
خب یهو کارشون بزرگه صرف نمیکنه از شرکت های واسطه خرید کنن,داداش من فعلا میخوام یک ماهه تست کنم در ضمن اگر بخوام مستقیم از آمریکا میخرم نیازی ندارم به هاستیگ هایی که بچه های راه میندازن
داداش من فعلا میخوام یک ماهه تست کنم در ضمن اگر بخوام مستقیم از آمریکا میخرم نیازی ندارم به هاستیگ هایی که بچه های راه میندازن,اوکی
ست کن,کردم
کردم,برای ارتباط با دیتابیس چه روشی میزنی؟
این کد,مای اس کیو ال ای همون متغییر کانکشنت هست
شاید درست بشه,مرسی شد
مرسی شد,موفق باشی
سلام دوستان,سلام
معنی این چی میشه,کجا دیدی؟ خودش به تنهایی اصطلاح خاصی نیست
کجا دیدی؟ خودش به تنهایی اصطلاح خاصی نیست,ترجمه افزونه وردپرس
معنی این چی میشه,من یک سری سرچ زدم، یک اصطلاح درست و دقیق نیست، فکر می کنم از اون جملاتیه که مارکتینگ یه شرکت ساخته واسه خودش حدسی هم که میزنم، یه معنی می ده که ما توسعه دهنده ها بهش میگیم یعنی کسی که خوب می دونه چطور با کامپیوتر کار کنه
اها ممنون,خواهش میکنم
صعلام,سلام
سلام,خوبی
خوبی,ممنون تو خوبی
چی شدت,هعی بدبختی
هعی بدبختی,هیچکس بدبخت نیس
هیچکس بدبخت نیس,من هستم
یس یس تو چقدر ترسناکی,نظرع لطفتع
من هستم,مثلا تو چیت از بقیه کمتره
هیچکس بدبخت نیس,همین بدیختی نیس
نظرع لطفتع,نظری ندارم اما لطفم زیاده
انابل تویی اون اداتو در میاره,من از اونم بدترم
همین بدیختی نیس,کدوم همین که تو تل
من از اونم بدترم,نگو میترسم
مثلا تو چیت از بقیه کمتره,خب دیگه
نظری ندارم اما لطفم زیاده,خو منم گفتم نظرع لطفت يني تو نظري نداري
خب دیگه,باشه دیگه
نگو میترسم,شبا خواب ميبيني؟
گپ فلسفه اس,بله خوش آمدی
قیافت عوض شدش,اوهوم
گپ فلسفه اس,شما استاد بیا وسط
اون مشکل از خودته چرا افتادی گوشه خونه,وقتی تعداد زیادی اینجور باشن پس مشکل از تو نی
اوهوم,دیگه ترسناک نیستی
شبا خواب ميبيني؟,بشین دیگه حوصلمو سر بردی
سلام به دوستان عزیز و مدیر محترم,سلام
گپ فلسفه اس,تو چی دوس داری
وقتی تعداد زیادی اینجور باشن پس مشکل از تو نی,راحت باشید اما برا گوشه نشینیتون فکری کنید
سلام,درود بر شما دوست عزیز
درود بر شما دوست عزیز,سپاس
شما استاد بیا وسط,قرش بدم
قرش بدم,بده ما هم دست میزنیم
همچنین عزیزم,سکوتی پر از حرف های ناگفته
تو چی دوس داری,من تورو دوس دارم
بده ما هم دست میزنیم,عربی یا ایرانی
عربی یا ایرانی,ایرانی قشنگ تره
من تورو دوس دارم,ای جان
ای جان,تا تنور داغه بچسبون
ایرانی قشنگ تره,ترکی یا شمالی یا هیپ هاپ
تا تنور داغه بچسبون,دارم هیزمشو بیشتر میکنم
ترکی یا شمالی یا هیپ هاپ,میخوای برقصی شروع کن
سگ گله کو پ,موش خوردش
کسی چت نمیکنه در پناه خدا همیشه سلامت باشید مدیر محترم ببخش خدانگهدارت,خدانگهدارت
موش خوردش,خودتو نخوره
ای جان,تازه عکسمو ببینی عاشقم میشی
خودتو نخوره,نع
تازه عکسمو ببینی عاشقم میشی,توعم منو ببینی ولم نمیکنی
میخوای برقصی شروع کن,خب باید بگی چجوری
تازه عکسمو ببینی عاشقم میشی,گروه نزاری بروبچ دعواشون میشه
خب باید بگی چجوری,شمالی برو
کسی چت نمیکنه در پناه خدا همیشه سلامت باشید مدیر محترم ببخش خدانگهدارت,عمت چت نمیکنه نمیبینی منو هویج بخور
توعم منو ببینی ولم نمیکنی,احسنت
ترشیدا دستا بالا,پسرا هم ترشیده میشن؟
پسرا هم ترشیده میشن؟,منظورم جنس موئنث بود
پسرا هم ترشیده میشن؟,شمارو گفت فکنم
پسرا هم ترشیده میشن؟,پسرا هر چی سن بره بالاتر پخته تر و خواستنی تر میشن
توعم منو ببینی ولم نمیکنی,چه زیبا بفرستم عکسمو واست
گروه نزاری بروبچ دعواشون میشه,گپ میزارم
از نظر من آره,حسینی
منظورم جنس موئنث بود,پس پسرا چی
چه زیبا بفرستم عکسمو واست,برو اونور بفرس اینجا عیبه
حسینی,تارخ
پس پسرا چی,اسمتو عین ما میکنی
تارخ,اسمتو ست کن
اسمتو عین ما میکنی,ادمینم میکنی
اسمتو ست کن,ضایه س باو
ادمینم میکنی,بزار
ضایه س باو,بزار
بزار,معنیش چیه؟
بزار,چ فایده وقتی ادمین نباشم
معنیش چیه؟,بزار میگم بهت
برو اونور بفرس اینجا عیبه,نه همین جا که همه ببیینن اگه روز ولم کردی من از زیبایی کم نداشتم
چ فایده وقتی ادمین نباشم,همه می زاریم باو
نه همین جا که همه ببیینن اگه روز ولم کردی من از زیبایی کم نداشتم,نه اینجا نزار غیرت من اجازه نمیده
نه اینجا نزار غیرت من اجازه نمیده,یه نظر حلاله
منم بازی,اسمتو
نه اینجا نزار غیرت من اجازه نمیده,ماهم ست کنیم دوس دارم
اسمتو,هاع
یه نظر حلاله,من اینجا نمیفرستم اخع میترسم ولم نکنن
هاع,اسمتو ست کن باما
سلام,خوبی
اسمتو ست کن باما,خو اینجوری کشنگتره
من اینجا نمیفرستم اخع میترسم ولم نکنن,خب تو نفرست
ماهم ست کنیم دوس دارم,بزار مغز مریض
خوبی,مرسی ت خوبی
مرسی ت خوبی,فدات کجایی
خب تو نفرست,خب تو بفرست
فدات کجایی,خونمون
خونمون,چخبر
چخبر,هیچ ت چه خبر
هیچ ت چه خبر,فدات درس فقط
فدات درس فقط,خوبه موفق
تو بزار هارلی من میزارم جوکر,میگم ست باشه مثل هم زیبای خفته خوبه به نظرم
خو هر وق اومدم دائم بمونم درسش میکنم,بزار
سیندرلا تویی اون اداتو در میاره,میدونستم عاشقم میشی
وخی عامو,بزارررررررر
حامد پهلاااااانه,ژون
بزارررررررر,ادمینننن
ژون,درآد
درآد,درآد فرار میکنین
میگم ست باشه مثل هم زیبای خفته خوبه به نظرم,عاشقان ماه خوب نی
درآد,بزاررر
درآد فرار میکنین,جونتو گفتم
تارخ,جان
جونتو گفتم,منم همونو گفتم
منم همونو گفتم,ناجور گفتیا
عاشقان ماه خوب نی,بیا این بازیع کثیفو تموم کنیم نظرت چیه
میدونستم عاشقم میشی,زبون دراز
ناجور گفتیا,از روح نمیترسی مگه
از روح نمیترسی مگه,نه
نه,ژون دیگه از چی نمیترسی
بیا این بازیع کثیفو تموم کنیم نظرت چیه,ادای سلطان رو در میاری
بزارررر,بااااااش خو
بهههه چه عجب,خوبی گلابی
ادای سلطان رو در میاری,سلیمان
سلیمان,تو سریال ایرانی بودا اسمش سلطان بود
زبون دراز,زبون منو از کجا دیدی تو جلب
حوصلم,ریدع
تو سریال ایرانی بودا اسمش سلطان بود,توام بزار
تو سریال ایرانی بودا اسمش سلطان بود,من فقط ماهواره واسع خونمون باید بخری
ژون دیگه از چی نمیترسی,از لولو
از لولو,چه دلیر
تووووف,تو دلت
تو دلت,تو کلیت
نمنه,بزار
تو کلیت,تو میزراهت
کامران صدام زدی ؟,گفتم بیای چالش
گفتم بیای چالش,من خیلی تمرکز ندارم
شب بای,بیا تو چالش
بیا تو چالش,بلد نیستم حوصله هم ندارم
شبیه جنازه ی قورباغه است,خخ
چشما فقد هست,صدرا چخبر
چیه این مسخره بازیا,بگیم بیا پی وی خوبه؟
بگیم بیا پی وی خوبه؟,چه ربطی داره
چته ؟,به مامانم گفتم اذیتم میکنی
چه ربطی داره,پس بذار سرگرم باشیم
پس بذار سرگرم باشیم,باش بااین چرندیات
به مامانم گفتم اذیتم میکنی,سلامم برسون پ
تف ب نت,نت ب تف
باش بااین چرندیات,میشه بیای پی وی حرفای چرت بزنیم؟
با این چراغ قرمز میدون توحید,اونجییین
اونجییین,صدرا بیا پنت هاوس بخرم برات تو سه راهی سلفچگون
هرجا میری پی وی پی وی,باشه تو مارو از تاریکی رهانیدی
کسکش ها چی بی خایه ان,اخطار
صدرا بیا پنت هاوس بخرم برات تو سه راهی سلفچگون,نه من خونه آقا تقی ام
های,سلام
سلام,خبی
خبی,شکر
شکر,اصل
اصل,مهسا۲۳
مهسا۲۳,از کجا
از کجا,اهواز
اهواز,خوش
خوش,همچنین
از لپ بود بابا,کوفت
نه من خونه آقا تقی ام,یادش بخیر اینه عبرت
کوفت,تو دل دشمنامون
یادش بخیر اینه عبرت,عاره آ تقی
بریم ؟,کجا؟
کجا؟,سر خونه زندگیمون
نفرس,چرا؟
چرا؟,نفرس خووو
عاره آ تقی,صدرا دلم میخواد روی پل صدر باهات قرار بزارم اخرش زیر پل شهید صناعی ببینمت
اسم فیلم این چیه؟,نمیدونم
خیلی بی اخساسی نفرس,احساسو خیلی وخته کشتم
بریم یکم پایین تر ، پاتوق دره فرحزاد با دوستان اهل دل,بریم باغچه خومونیا
نمیدونم,ممنون
احساسو خیلی وخته کشتم,خب نفرس یه جوری میشم
خب نفرس یه جوری میشم,اصل بده
میشه بیای پی وی حرفای چرت بزنیم؟,ن
چطوری,سلام همشهری
اصل بده,صدرا
سلام همشهری,سلام
خوبی,مرسی
خبی ؟خشی؟,نععععع
صدرا,اونو ک چش خودمم میبینه
نععععع,عه چرانبینم ناراحتی
عه چرانبینم ناراحتی,میگذره
اونو ک چش خودمم میبینه,آها صدرا شیراز
آها صدرا شیراز,صدرا تهران
میگذره,درک میکنم
درک میکنم,مرسی
صدرا تهران,خیلی کلکی
مرسی,برسی
چه خبر,سلامتی
سلامتی,اب و هوا چطوره
اب و هوا چطوره,عالی
اروم باش,هی ازین عکسا ترسناک میفرسته
عالی,به به
هی ازین عکسا ترسناک میفرسته,بیا سیرجان تا دیگع عکس ترسناک نفرسم
بیا سیرجان تا دیگع عکس ترسناک نفرسم,سیرجان واس چی
سیرجان واس چی,تا شجاع شی
تا شجاع شی,مگه کرمونی
چخبر,سلامتی
مگه کرمونی,ن میگم امیر شجاعت کنه
ت نمیترسی,نه دختر شجام
سلامتی,اصل بده
ن میگم امیر شجاعت کنه,برا چی تریاک میکشی لابد
اصل بده,مهسا۲۳
برا چی تریاک میکشی لابد,چ ربطی داش
چ ربطی داش,خب تریاکیا شجاعن
کسی هس فحش بدم چیزی نگه,به دیوار بگو
خب تریاکیا شجاعن,خداییش چنسالته
خیر دانشجو هم خدا قبول کنه چندماه دیگه میشم مهندس مملکت,بسلامت بیا بشو مهندس خودمونا
به دیوار بگو,حال نمیده
خداییش چنسالته,من تازه دارم میرم نونوایی
حال نمیده,وایسا رو بالکن به اولین حیوونی که از جلوت رد شد بده
نفرس دیگه ترسناک نیستن چندشن,چندش نیسن
وایسا رو بالکن به اولین حیوونی که از جلوت رد شد بده,میترسم فحشم بخوره به همسایه
چندش نیسن,نفرست
نفرس دیگه ترسناک نیستن چندشن,ها راست میگیا
نفرست,نمیتونم
میترسم فحشم بخوره به همسایه,میخوای تک تیرانداز سفارشی امریکایی برات بیارم کاکو
بای فعلا خودتو درس کن,کجا
ها راست میگیا,یس
کجا,مغازه
میخوای تک تیرانداز سفارشی امریکایی برات بیارم کاکو,نچ با شات گان میزنم
مغازه,سر راه واس من پاستیل بخر
یس,یه نصیحتی هم بع این دختر شیطون کن نفرسته ازینا
سر راه واس من پاستیل بخر,تک بزن
تک بزن,یادت نرههههه
تک بزن,چشم
یادت نرههههه,یادم بنداز
های,های
های,خبی
یادم بنداز,مسجد میری حتما
سلام,سلام
سلام,سلام
ع این,نگفتی خبی
نگفتی خبی,خوبم
منتظرم,مرسی که هستی
خوبم,چه خبر
چه خبر,هیچ
نشی جانم,یه سوال
دیوونه تر تو ندیدم,واقعا بالاخره تو ی چیزی برترین بودم
واقعا بالاخره تو ی چیزی برترین بودم,نکن اینکارو نکن
نمیخوری,لامصب بدجور کمر سفت کنه
بیا بهم فحش بدیم خالی شیم,من ینفرو تو ذهنم تصور میکنم تا دلت میخواد بش فوش بده
تو معلومه زیاد خوردی,ن ب انداره تو
ن ب انداره تو,من تازه خالی کردم
من تازه خالی کردم,بخور واسه بعدی
برا سیب زمنی بپزی باید چیکا کنی نسوزه,اشپزی؟
بخور واسه بعدی,شیرموز بهتره
اشپزی؟,نه گذاشتم داخل آتیش بپزه
شیرموز بهتره,هیس
حوصلم ان شده,اسهال
حوصلم ان شده,بیا افش کنم
اسهال,هوم
باورت میشه از اهنگ خسته شدم,پاشو برقص ایقده حال میده که نگو
پاشو برقص ایقده حال میده که نگو,جلو خونواده
یه سوال,بفرما
جلو خونواده,خب عاره مگه بده
خب عاره مگه بده,یکم
بفرما,برا سیب زمنی بپزه باید چکا کنم
یکم,یکم هم خوبه
سلام,تو مومنی
اسلام ؟,کیه ؟
خب چکا کنم,نمیدونم والا
خب چکا کنم,سوالتو واضح بپرس ک جواب بدم
سلام,مهسا خانم
مهسا خانم,بله
من برم بچه ها,شمعدونیا چی
اسیر شدیم این وقت شب,ایموجیشم پسرونس
خراب نمیشه,خاستم نیگاش کنم دستم سوخت
خاستم نیگاش کنم دستم سوخت,نیگا نداره ک
نیگا نداره ک,میخام نسوزه
میخام نسوزه,میگم چاقو بزن ببین سفته یا ن
میگم چاقو بزن ببین سفته یا ن,ا راست میگیا
خب بیشعورایی ک من میشناسم نیستن,اره دقیقا منم میرم
امروز پنجشنبه اس,نه فردا مدرسه ها تعطیله
جونم,چو کنیم
حتما بايد دختر باشيم جواب سلام بدين,خاحالاسلام
خاحالاسلام,نميخوام ديگه
نميخوام ديگه,قهرنکنا
قهرنکنا,دعوا داريا
حالا گريه نكن,باچ
باچ,اقا خدايي از لوس حرف زدن خوشم نمياد
اقا خدايي از لوس حرف زدن خوشم نمياد,خب ریپ نزن پ
خب ریپ نزن پ,باز بي اعصاب شب
باز بي اعصاب شب,والا
سلام,سلام عزیزم
خوبم,الحمدلله
هعی لوله گاز,چرا لوله
سلام کسی هست بتونم مشکل زندگیمو بهش بگم,قاضی
قاضی,قصد مخ زدن ندارم واقعا اگه میشه لطفا کمکم کن
سلام کسی هست بتونم مشکل زندگیمو بهش بگم,یا حضرت قاشقچی
قصد مخ زدن ندارم واقعا اگه میشه لطفا کمکم کن,من خودم کوله بار مشکلاتم
من خودم کوله بار مشکلاتم,بیا به رسول بگو
هدیه,بفرما؟
بفرما؟,پی
بیا به رسول بگو,لزومی نداره نیومدم گپ که از مشکلاتم بگم
پی,ن
ن,چرا بیا چت کنیم
اااا نرجس,نرگس
لزومی نداره نیومدم گپ که از مشکلاتم بگم,میگم نه والا با نونش
چرا بیا چت کنیم,نه
نرگس,چخبرا نرگس
نه,نیا
نیا,نمیام دیگه
یکی اینجوری بود مرد,دورازجون
چخبرا نرگس,هیچ
دورازجون,کاملا نزدیک از جون
هیچ,نه بگو سلامتیییییییییییی
عععع چقدر من و تو شبیه همیم,دوتاتونم ی نفرید
گوگوش و رها اعتمادی ازدواج کردن,مگه گوش دختره
دوتاتونم ی نفرید,عه
رفیقمون اهل دله فهمید,خدا نکشتت
خودتی,اره
اره,خشتک عمت پاره
وای خدای من,چه همه برف
وای خدای من,تبریز برف اومد ولی کم
تبریز برف اومد ولی کم,شما از تبریزی ؟
خشتک عمت پاره,باز زر زدی هادی
شما از تبریزی ؟,اوهوم با افتخار
باز زر زدی هادی,باز ؟؟ مگه قبلن با من حرف زدی
باز ؟؟ مگه قبلن با من حرف زدی,نرگسم
نرگسم,کدوم نرگس؟؟
کدوم نرگس؟؟,قدیمی
قدیمی,یادم نمیای
یادم نمیای,خوبین
سلام خوببن,سلام کردمااااااااا
یادم نمیای,خاک
خوبین,شما خوبی؟
شما خوبی؟,بخوبیتون
خاک,اصل بده یادم بیاد
بخوبیتون,مرسی
اصل بده یادم بیاد,نمیخواد
مرسی,اصل
اصل,اول شما
اول شما,۱۸قم
۱۸قم,اسم نداری شما
اسم نداری شما,امیر
امیر,خوشبختم تبریز هادی
خوشبختم تبریز هادی,تورکن
جاته,باشه
حتمن عشقت,دوستمه
